order_id,customer_name,email,phone,city,product_name,category,quantity,price,discount_pct,total_price,order_date,payment_method,order_status,rating
ORD-83284,Agus Prasetyo,agus.prasetyo@gmail.com,628733775016,Tangerang,Buku Resep Masakan,Buku,-1,59100,0,-59100,2025-02-01,Indomaret,Dikembalikan,4
ORD-86916,Eko Wijaya,eko.wijaya@gmail.com,+628199626108,Banjarmasin,Jaket Bomber Pria,Fashion,1,390800,134,-132872,2024-07-06,ShopeePay,Selesai,5
ORD-44787,Muhammad Suryadi,muhammad60@gmail.com,8188867190,Bekasi,Lemari Pakaian 3 Pintu,Furniture,5,2078900,15,8835325,2025-02-21,DANA,Selesai,3
ORD6934,YENI NUGRAHA,yeni_nugraha@outlook.com,8925951043,Solo,Snack Chitato 68gr,Makanan & Minuman,1,13100,187,-11397,2025-03-13,GoPay,Selesai,3
ORD-33578,Indra Kusuma,indra.kusuma@gmail.com,+628685966428,Jakarta,Smartwatch Garmin,Elektronik,2,4244900,0,8489800,2025-01-17,Transfer Bank,Dikembalikan,4
ORD-72460,Lusi Utami,lusiutami@yahoo.com,08605948917,Jakarta,Rak Buku Minimalis,Furniture,-1,454300,0,-454300,2024-08-29,OVO,Dikembalikan,4
ORD-54222,Wahyu Firmansyah,wahyu.firmansyah@gmail.com,8644554277,Depok,Headphone Sony WH-1000XM5,Elektronik,1,3264300,15,2774655,2025-01-02,Indomaret,Selesai,2
ORD-18361,JOKO NUGRAHA,joko_nugraha@outlook.com,8184317700,Semarang,Earbuds TWS JBL,Elektronik,1,796100,5,756295,2025-01-01,Transfer Bank,Selesai,4
ORD-87441,Dewi Utami,dewi56@gmail.com,8596399642,Solo,Setrika Uap Panasonic,Peralatan Rumah,1,426600,10,383940,2024-11-23,cc,Diproses,1
ORD-10946,Yeni Sari,yeni_sari@outlook.com,8692976045,Jakarta,Rice Cooker Philips,Peralatan Rumah,2,336000,0,672000,2025-02-08,Kartu Kredit,Dikirim,4
ORD-74486,Tono Rahayu,tono_rahayu@outlook.com,08104043480,Balikpapan,Laptop Lenovo IdeaPad,Elektronik,1,6458300,15,5489555,2025-01-27,GoPay,Selesai,1
ORD-42778,Hani Firmansyah,hani_firmansyah@outlook.com,08585702656,Batam,Sepatu Nike Air Max,Fashion,1,1325100,0,1325100,2025-04-25,GoPay,Selesai,5
ORD-24801,Hani Ardiansyah,hani.ardiansyah@gmail.com,628285886733,Tangerang,Tas Ransel Laptop,Fashion,1,324300,10,291870,2024-08-07,Transfer Bank,Selesai,1
ORD-94495,Zaidan Wibowo,zaidan.wibowo@gmail.com,+628281272124,Yogyakarta,Teh Botol Sosro 330ml,Makanan & Minuman,1,5400,15,4590,2025-01-25,Transfer Bank,Dikirim,5
ORD-76316,Xena Gunawan,xenagunawan@yahoo.com,628716271120,Bekasi,Rak Buku Minimalis,Furniture,3,469900,10,1268730,2025-01-29,Transfer Bank,Selesai,
ORD-14170,Indra Kusuma,indra.kusuma@gmail.com,+628685966428,Jakarta,Komik Naruto Vol 1,Buku,1,36100,0,36100,2025-01-26,DANA,Dikirim,3
ORD-38298,Eko Kusuma,eko50@gmail.com,8999767135,Medan,Celana Jeans Levis,Fashion,2,427900,10,770220,2025-04-11,ShopeePay,Selesai,5
ORD-52553,Muhammad Gunawan,muhammad58@gmail.com,8866443037,Surabaya,Meja Belajar Minimalis,Furniture,1,864700,30,605290,2025-01-04,Gopay,Selesai,3
ORD-77013,Dian Suryadi,dian.suryadi@gmail.com,08149955386,Surabaya,AC Split 1 PK Daikin,Peralatan Rumah,1,4103000,0,4103000,2024-12-10,COD,Selesai,5
ORD-53829,Putri Setiawan,putrisetiawan@yahoo.com,628929230828,Makassar,Tablet iPad Air,Elektronik,3,9744300,0,29232900,2024-10-23,COD,Selesai,4
