order_id,customer_name,email,phone,city,product_name,category,quantity,price,discount_pct,total_price,order_date,payment_method,order_status,rating
ORD-16058,Kevin Setiawan,kevin_setiawan@outlook.com,8474664903.0,Banjarmasin,Snack Chitato 68gr,Makanan & Minuman,10,12300,50,61500.0,2024-01-06,Transfer Bank,Diproses,3.0
ORD-94935,Indra Hartono,indra8@gmail.com,628821968662.0,Surabaya,Komik Naruto Vol 1,Buku,1,32500,10,29250.0,2024-01-06,Dana,Selesai,1.0
ORD-78314,Budi Hidayat,budi_hidayat@outlook.com,628653653446.0,Balikpapan,Laptop ASUS VivoBook,Elektronik,20,7295600,100,0.0,2024-01-06,Transfer Bank,Selesai,3.0
ORD6781,Candra Putra,candra11@gmail.com,8121873851.0,Tangerang,Jam Tangan Casio,Fashion,1,620500,20,496400.0,2024-01-06,Kartu Kredit,Selesai,3.0
ORD-54625,Dian Lestari,dian.lestari@gmail.com,628995450404.0,Tangerang,Susu UHT Ultra 1L,Makanan & Minuman,4,19700,20,63040.0,2024-01-07,OVO,Selesai,3.0
ORD-98230,Farah Wibowo,farah.wibowo@gmail.com,8787011065.0,Makassar,Kursi Gaming Ergonomis,Furniture,1,1889000,0,1889000.0,2024-01-07,Shopeepay,Diproses,3.0
ORD-55510,Vina Nugraha,vinanugraha@yahoo.com,628973347627.0,Depok,Sofa L-Shape,Furniture,3,5813200,20,13951680.0,2024-01-08,OVO,Dibatalkan,1.0
ORD-92772,Mario Sari,mariosari@yahoo.com,8587327855.0,Jakarta,Celana Jeans Levis,Fashion,3,452600,20,1086240.0,2024-01-08,OVO,Selesai,3.0
ORD-81449,Hendra Wibowo,hendra.wibowo@gmail.com,628155156449.0,Malang,Sofa L-Shape,Furniture,2,5802100,25,8703150.0,2024-01-08,GoPay,Dikembalikan,4.0
ORD-60672,Yeni Setiawan,yeni_setiawan@outlook.com,628505055688.0,Semarang,Dompet Kulit Pria,Fashion,3,172200,5,490770.0,2024-01-08,Alfamart,Selesai,2.0
